fname,desert,mountains,sea,sunset,trees
940.jpg,0,0,1,0,0
741.jpg,0,1,0,0,0
367.jpg,1,0,0,0,0
755.jpg,0,1,0,0,0
734.jpg,0,1,0,0,0
6.jpg,1,0,0,0,0
159.jpg,1,0,0,0,0
536.jpg,0,1,0,0,0
35.jpg,1,0,0,1,0
890.jpg,0,0,1,0,0
1115.jpg,0,0,1,1,0
1136.jpg,0,0,1,0,0
395.jpg,1,0,0,1,0
678.jpg,0,1,0,0,0
1668.jpg,0,0,0,0,1
349.jpg,1,0,0,0,0
578.jpg,0,1,0,0,1
1754.jpg,0,0,0,0,1
456.jpg,0,1,0,0,0
844.jpg,0,0,1,0,0
1931.jpg,0,0,0,0,1
1600.jpg,0,0,1,1,0
920.jpg,0,0,1,1,0
1745.jpg,0,0,0,0,1
419.jpg,0,1,0,0,0
1739.jpg,0,0,0,0,1
633.jpg,0,1,0,0,1
431.jpg,0,1,0,0,0
1990.jpg,0,0,0,0,1
1620.jpg,0,0,0,0,1
1475.jpg,0,0,1,1,0
1589.jpg,0,0,1,1,0
1033.jpg,0,0,1,0,0
32.jpg,1,0,0,0,1
908.jpg,0,0,1,0,0
1414.jpg,0,0,0,1,0
1299.jpg,0,0,1,1,0
1057.jpg,0,0,1,0,0
1395.jpg,0,0,0,1,0
1388.jpg,0,0,0,1,0
1380.jpg,0,0,0,1,0
1662.jpg,0,0,1,0,1
1416.jpg,0,0,0,1,0
865.jpg,0,0,1,1,0
1051.jpg,0,0,1,0,0
1390.jpg,0,0,0,1,0
1303.jpg,0,0,0,1,0
1289.jpg,0,0,0,1,0
1110.jpg,0,0,1,0,0
892.jpg,0,0,1,0,0
685.jpg,0,1,0,0,1
34.jpg,1,0,0,0,0
876.jpg,0,0,1,1,0
956.jpg,0,0,1,0,0
361.jpg,1,0,0,0,0
1045.jpg,0,0,1,0,0
446.jpg,0,1,0,0,0
196.jpg,1,0,0,0,0
269.jpg,1,0,0,0,0
831.jpg,0,0,1,0,0
1440.jpg,0,0,0,1,0
948.jpg,0,0,1,0,0
487.jpg,0,1,0,0,0
307.jpg,1,0,0,0,0
539.jpg,0,1,0,0,0
1101.jpg,0,0,1,0,0
1251.jpg,0,0,1,1,0
256.jpg,1,0,0,0,0
1166.jpg,0,0,1,0,0
898.jpg,0,0,1,0,0
1290.jpg,0,0,0,1,0
1884.jpg,0,0,0,0,1
1011.jpg,0,0,1,0,0
103.jpg,1,0,0,0,0
295.jpg,1,0,0,0,0
157.jpg,1,0,0,0,0
1361.jpg,0,0,0,1,1
607.jpg,0,1,0,0,0
128.jpg,1,1,0,0,0
1367.jpg,0,0,0,1,0
1573.jpg,0,0,0,1,0
707.jpg,0,1,0,0,1
1411.jpg,0,0,1,1,0
392.jpg,1,1,0,0,0
1753.jpg,0,0,0,0,1
455.jpg,0,1,0,0,0
1291.jpg,0,0,1,1,0
1643.jpg,0,0,0,0,1
594.jpg,0,1,0,0,0
328.jpg,1,0,1,0,0
1771.jpg,0,0,0,0,1
1061.jpg,0,0,1,0,0
1546.jpg,0,0,0,1,0
1629.jpg,0,0,0,0,1
1275.jpg,0,0,1,1,0
701.jpg,0,1,0,0,1
1535.jpg,0,0,0,1,0
715.jpg,0,1,0,0,0
1193.jpg,0,0,1,0,0
356.jpg,1,0,0,0,0
1385.jpg,0,1,0,1,0
174.jpg,1,0,0,0,0
1137.jpg,0,0,1,0,0
406.jpg,0,1,0,0,0
1189.jpg,0,0,1,0,0
21.jpg,1,0,0,0,1
1644.jpg,0,0,0,0,1
1511.jpg,0,0,1,1,0
343.jpg,1,0,0,0,0
470.jpg,0,1,0,0,0
1840.jpg,0,0,0,0,1
1062.jpg,0,0,1,0,0
1818.jpg,0,0,0,0,1
1060.jpg,0,0,1,0,0
379.jpg,1,0,0,0,0
1350.jpg,0,0,0,1,1
1308.jpg,0,0,1,1,0
1412.jpg,0,0,0,1,1
797.jpg,0,1,0,0,0
753.jpg,0,1,0,0,0
1245.jpg,0,0,1,1,0
827.jpg,0,0,1,0,0
1117.jpg,0,0,1,0,0
1743.jpg,0,0,0,0,1
670.jpg,0,1,0,0,0
318.jpg,1,0,0,0,0
284.jpg,1,0,0,0,0
125.jpg,1,0,0,0,0
29.jpg,1,0,0,0,0
549.jpg,0,1,0,0,0
524.jpg,0,1,0,0,0
1427.jpg,0,1,0,1,0
494.jpg,0,1,0,0,0
1757.jpg,0,0,0,0,1
1580.jpg,0,0,1,1,0
1819.jpg,0,0,0,0,1
468.jpg,0,1,0,0,0
891.jpg,0,0,1,0,0
1664.jpg,0,0,0,0,1
482.jpg,0,1,0,0,1
1017.jpg,0,0,1,0,0
781.jpg,0,1,0,0,0
451.jpg,0,1,0,0,0
471.jpg,0,1,1,0,0
212.jpg,1,0,0,0,0
576.jpg,0,1,0,0,1
1087.jpg,0,0,1,0,1
213.jpg,1,0,0,0,0
436.jpg,0,1,1,0,0
1282.jpg,0,0,0,1,0
1028.jpg,0,0,1,0,0
598.jpg,0,1,0,0,0
1322.jpg,0,0,0,1,0
1715.jpg,0,0,0,0,1
1417.jpg,0,0,0,1,0
278.jpg,1,0,0,0,0
774.jpg,0,1,0,0,0
1378.jpg,0,0,1,1,0
1507.jpg,0,0,0,1,0
267.jpg,1,0,0,0,0
1525.jpg,0,0,0,1,0
434.jpg,0,1,0,0,0
805.jpg,0,0,1,0,0
304.jpg,1,0,0,0,0
1853.jpg,0,0,0,0,1
1025.jpg,0,0,1,0,0
1898.jpg,0,0,0,0,1
880.jpg,0,0,1,0,0
1165.jpg,0,0,1,0,0
1423.jpg,0,0,0,1,0
911.jpg,0,0,1,0,0
1648.jpg,0,0,0,0,1
382.jpg,1,0,0,0,0
540.jpg,0,1,0,0,0
366.jpg,1,0,0,0,0
1860.jpg,0,0,0,0,1
1704.jpg,0,0,0,0,1
1834.jpg,0,0,0,0,1
811.jpg,0,0,1,0,0
1556.jpg,0,0,0,1,0
1237.jpg,0,0,0,1,0
1123.jpg,0,0,1,0,0
1569.jpg,0,0,0,1,0
194.jpg,1,0,0,0,0
89.jpg,1,0,0,0,0
1201.jpg,0,0,0,1,0
1266.jpg,0,0,1,1,0
1428.jpg,0,0,0,1,0
1740.jpg,0,0,0,0,1
788.jpg,0,1,1,0,0
1102.jpg,0,0,1,0,0
1095.jpg,0,0,1,0,0
253.jpg,1,0,1,0,0
947.jpg,0,0,1,0,0
1636.jpg,0,0,0,0,1
1048.jpg,0,0,1,0,0
46.jpg,1,0,0,0,0
1864.jpg,0,0,0,0,1
1974.jpg,0,0,0,0,1
730.jpg,0,1,0,0,0
1268.jpg,0,0,1,1,0
756.jpg,0,1,0,0,0
821.jpg,0,0,1,0,0
1492.jpg,0,0,1,1,0
1205.jpg,0,0,1,1,0
233.jpg,1,0,0,0,0
111.jpg,1,1,0,0,0
804.jpg,0,0,1,0,0
896.jpg,0,0,1,0,0
768.jpg,0,1,0,0,0
221.jpg,1,0,0,0,0
782.jpg,0,1,0,0,0
1233.jpg,0,0,0,1,1
1178.jpg,0,0,1,0,0
1915.jpg,0,1,0,0,1
1890.jpg,0,0,0,0,1
1920.jpg,0,0,0,0,1
1321.jpg,0,0,1,1,0
316.jpg,1,0,0,0,0
1972.jpg,0,0,0,0,1
1180.jpg,0,0,1,1,0
1551.jpg,0,0,0,1,0
48.jpg,1,0,0,0,0
1365.jpg,0,0,1,1,0
1023.jpg,0,0,1,0,0
1831.jpg,0,0,0,0,1
548.jpg,0,1,0,0,0
1998.jpg,0,0,0,0,1
904.jpg,0,0,1,0,0
1607.jpg,0,0,0,0,1
102.jpg,1,1,0,0,0
746.jpg,0,1,0,0,0
792.jpg,0,1,1,0,0
713.jpg,0,1,0,0,0
1787.jpg,0,0,0,0,1
44.jpg,1,0,0,0,0
1376.jpg,0,0,0,1,0
1801.jpg,0,0,0,0,1
1084.jpg,0,0,1,0,0
1581.jpg,0,0,0,1,0
960.jpg,0,0,1,0,0
1288.jpg,0,0,0,1,0
1929.jpg,0,0,0,0,1
282.jpg,1,0,0,0,0
506.jpg,0,1,0,0,0
85.jpg,1,0,0,0,0
275.jpg,1,0,0,0,0
1763.jpg,0,0,0,0,1
1400.jpg,0,0,1,1,0
1472.jpg,0,0,1,1,0
1686.jpg,0,0,0,0,1
414.jpg,0,1,0,0,0
1848.jpg,0,0,0,0,1
1370.jpg,0,0,1,1,0
1809.jpg,0,0,0,0,1
67.jpg,1,1,0,0,0
1874.jpg,0,0,0,0,1
1209.jpg,0,0,0,1,0
1953.jpg,0,0,0,0,1
818.jpg,0,0,1,0,1
155.jpg,1,0,0,0,0
1220.jpg,0,0,0,1,0
681.jpg,0,1,0,0,0
1851.jpg,0,0,0,0,1
837.jpg,0,0,1,0,0
332.jpg,1,0,0,0,0
24.jpg,1,0,0,0,1
30.jpg,1,0,0,0,0
1265.jpg,0,0,1,1,0
1846.jpg,0,0,0,0,1
1234.jpg,0,0,1,1,0
1230.jpg,0,0,0,1,0
600.jpg,0,1,0,0,0
665.jpg,0,1,0,0,1
1677.jpg,0,0,0,0,1
1336.jpg,0,0,0,1,0
289.jpg,1,0,0,1,0
1272.jpg,0,0,1,1,0
1772.jpg,0,1,0,0,1
1002.jpg,0,0,1,0,0
1267.jpg,0,0,1,1,1
1735.jpg,0,0,0,0,1
1294.jpg,0,0,0,1,0
718.jpg,0,1,0,1,0
1218.jpg,0,1,0,1,0
1646.jpg,0,0,0,0,1
564.jpg,0,1,0,0,0
1317.jpg,0,0,1,1,0
1188.jpg,0,0,1,1,0
1083.jpg,0,0,1,0,0
642.jpg,0,1,0,0,1
1181.jpg,0,0,1,0,0
1207.jpg,0,0,0,1,0
1302.jpg,0,0,1,1,0
79.jpg,1,0,0,0,0
1099.jpg,0,0,1,0,0
1674.jpg,0,0,0,0,1
1410.jpg,0,0,1,1,0
532.jpg,0,1,0,0,1
180.jpg,1,0,0,0,0
171.jpg,1,0,0,0,0
1952.jpg,0,0,0,0,1
1975.jpg,0,0,0,0,1
1113.jpg,0,0,1,0,0
1557.jpg,0,0,1,1,0
1656.jpg,0,0,0,0,1
1748.jpg,0,0,0,0,1
1941.jpg,0,0,0,0,1
667.jpg,0,1,0,0,0
918.jpg,0,0,1,0,0
1090.jpg,0,0,1,0,0
215.jpg,1,0,0,0,0
842.jpg,0,0,1,0,0
1153.jpg,0,0,1,0,0
1334.jpg,0,0,1,1,0
1072.jpg,0,0,1,0,0
384.jpg,1,1,0,0,0
1143.jpg,0,0,1,0,0
709.jpg,0,1,0,0,0
505.jpg,0,1,0,0,0
424.jpg,0,1,0,0,0
1897.jpg,0,0,0,0,1
680.jpg,0,1,0,0,1
1564.jpg,0,0,1,1,0
1439.jpg,0,0,0,1,1
671.jpg,0,1,0,0,1
886.jpg,0,0,1,0,0
1139.jpg,0,0,1,0,0
1871.jpg,0,0,0,0,1
355.jpg,1,0,0,0,0
1128.jpg,0,0,1,0,0
411.jpg,0,1,1,0,0
1186.jpg,0,0,1,0,0
733.jpg,0,1,0,0,1
1803.jpg,0,0,0,0,1
1512.jpg,0,0,0,1,0
1503.jpg,0,1,0,1,0
1555.jpg,0,0,0,1,0
223.jpg,1,0,0,0,0
1876.jpg,0,0,0,0,1
462.jpg,0,1,0,0,0
13.jpg,1,0,0,0,0
806.jpg,0,0,1,0,0
888.jpg,0,0,1,0,0
1058.jpg,0,0,1,0,0
1392.jpg,0,0,1,1,0
761.jpg,0,1,0,0,0
1937.jpg,0,0,0,0,1
623.jpg,0,1,0,0,1
1902.jpg,0,0,0,0,1
946.jpg,0,0,1,0,0
1226.jpg,0,0,1,1,0
204.jpg,1,0,0,0,0
1795.jpg,0,0,0,0,1
271.jpg,1,0,0,0,0
1477.jpg,0,0,0,1,0
73.jpg,1,0,0,0,0
621.jpg,0,1,1,0,0
1079.jpg,0,0,1,1,0
620.jpg,0,1,1,0,1
1812.jpg,0,0,0,0,1
47.jpg,1,0,0,1,1
1832.jpg,0,0,0,0,1
1059.jpg,0,0,1,0,0
1349.jpg,0,0,0,1,0
1854.jpg,0,0,0,0,1
258.jpg,1,0,0,0,0
279.jpg,1,0,0,0,0
495.jpg,0,1,0,0,0
1999.jpg,0,0,0,0,1
1199.jpg,0,0,1,0,0
1482.jpg,0,0,0,1,0
1368.jpg,0,0,0,1,0
1987.jpg,0,0,0,0,1
1479.jpg,0,0,0,1,0
1843.jpg,0,0,0,0,1
216.jpg,1,0,0,0,0
1019.jpg,0,0,1,0,0
784.jpg,0,1,0,0,0
1169.jpg,0,0,1,1,0
1490.jpg,0,0,0,1,0
402.jpg,0,1,0,0,0
597.jpg,0,1,0,0,0
105.jpg,1,0,0,0,0
370.jpg,1,0,0,0,0
729.jpg,0,1,0,0,0
803.jpg,0,0,1,0,0
450.jpg,0,1,0,0,0
283.jpg,1,0,0,0,0
617.jpg,0,1,0,0,1
224.jpg,1,0,0,0,0
952.jpg,0,0,1,0,0
1371.jpg,0,1,0,1,0
56.jpg,1,0,0,0,0
1175.jpg,0,0,1,1,0
1064.jpg,0,0,1,0,0
264.jpg,1,0,0,0,0
1554.jpg,0,0,0,1,0
1540.jpg,0,0,0,1,0
441.jpg,0,1,0,0,0
306.jpg,1,0,0,0,0
646.jpg,0,1,0,0,1
1478.jpg,0,0,0,1,0
476.jpg,0,1,0,0,0
1441.jpg,0,0,0,1,0
114.jpg,1,0,0,0,0
874.jpg,0,0,1,1,0
881.jpg,0,0,1,0,0
934.jpg,0,0,1,0,0
1430.jpg,0,0,0,1,0
1004.jpg,0,0,1,0,0
18.jpg,1,0,0,0,0
1257.jpg,0,0,1,1,0
629.jpg,0,1,0,0,1
651.jpg,0,1,0,0,1
1157.jpg,0,0,1,1,0
1198.jpg,0,0,1,0,0
944.jpg,0,0,1,0,0
1277.jpg,0,0,1,1,0
991.jpg,0,0,1,0,0
794.jpg,0,1,0,0,0
10.jpg,1,1,0,0,0
1688.jpg,0,0,0,0,1
637.jpg,0,1,0,0,1
575.jpg,0,1,0,0,1
1855.jpg,0,0,0,0,1
175.jpg,1,0,0,0,0
1499.jpg,0,0,1,1,0
869.jpg,0,0,1,0,0
1576.jpg,0,0,0,1,0
839.jpg,0,0,1,0,0
814.jpg,0,0,1,0,0
1977.jpg,0,0,0,0,1
214.jpg,1,0,0,0,0
1737.jpg,0,0,0,0,1
971.jpg,0,0,1,0,0
936.jpg,0,0,1,0,0
1994.jpg,0,0,0,0,1
1847.jpg,0,0,0,0,1
871.jpg,0,0,1,0,0
1733.jpg,0,0,0,0,1
447.jpg,0,1,0,0,0
1610.jpg,0,0,0,0,1
27.jpg,1,0,0,0,0
1883.jpg,0,0,0,0,1
1323.jpg,0,0,0,1,0
1359.jpg,0,0,1,1,0
914.jpg,0,0,1,0,0
1886.jpg,0,0,0,0,1
840.jpg,0,0,1,0,0
262.jpg,1,0,0,0,0
1619.jpg,0,0,0,0,1
1935.jpg,0,1,0,0,1
156.jpg,1,0,0,0,1
1783.jpg,0,0,0,0,1
255.jpg,1,0,0,0,0
893.jpg,0,1,1,0,0
544.jpg,0,1,0,0,0
123.jpg,1,0,0,0,0
998.jpg,0,0,1,0,0
582.jpg,0,1,0,0,0
1872.jpg,0,1,0,0,1
249.jpg,1,0,0,0,0
9.jpg,1,0,0,0,0
1729.jpg,0,0,0,0,1
1616.jpg,0,0,0,0,1
415.jpg,0,1,0,0,0
82.jpg,1,0,0,0,0
1131.jpg,0,0,1,0,0
443.jpg,0,1,0,0,0
933.jpg,0,0,1,0,1
1582.jpg,0,0,1,1,0
205.jpg,1,0,0,0,0
1093.jpg,0,0,1,0,0
199.jpg,1,0,0,0,0
1366.jpg,0,0,0,1,1
1837.jpg,0,0,0,0,1
691.jpg,0,1,0,0,1
1639.jpg,0,0,0,0,1
1425.jpg,0,0,0,1,0
1944.jpg,0,0,0,0,1
1161.jpg,0,0,1,1,0
1306.jpg,0,0,0,1,0
1742.jpg,0,0,0,0,1
453.jpg,0,1,0,0,0
815.jpg,0,0,1,0,0
921.jpg,0,0,1,0,0
445.jpg,0,1,0,0,0
1381.jpg,1,0,0,1,0
330.jpg,1,0,0,0,0
1363.jpg,0,0,0,1,0
489.jpg,0,1,0,0,0
1050.jpg,0,0,1,0,0
377.jpg,1,0,0,0,0
1391.jpg,0,0,1,1,0
1250.jpg,0,0,1,1,0
974.jpg,0,0,1,0,0
994.jpg,0,0,1,0,0
1984.jpg,0,0,0,0,1
165.jpg,1,0,0,0,0
1501.jpg,0,0,0,1,0
1358.jpg,0,0,1,1,0
63.jpg,1,1,0,0,0
726.jpg,0,1,0,0,1
1690.jpg,0,0,0,0,1
1561.jpg,0,0,0,1,0
69.jpg,1,0,0,0,0
1215.jpg,0,0,1,1,0
1469.jpg,0,0,0,1,0
916.jpg,0,0,1,0,0
1476.jpg,0,0,0,1,0
927.jpg,0,0,1,0,1
483.jpg,0,1,0,0,1
1861.jpg,0,0,0,0,1
857.jpg,0,0,1,0,1
45.jpg,1,0,0,0,0
1497.jpg,0,0,0,1,0
1523.jpg,0,0,0,1,1
1574.jpg,0,0,1,1,0
1712.jpg,0,0,0,0,1
368.jpg,1,0,0,0,0
1950.jpg,0,0,0,0,1
1222.jpg,0,0,0,1,0
1858.jpg,0,0,0,0,1
563.jpg,0,1,0,0,0
1502.jpg,0,1,0,1,0
1171.jpg,0,0,1,0,0
1956.jpg,0,0,0,0,1
1856.jpg,0,0,0,0,1
879.jpg,0,0,1,0,0
305.jpg,1,0,0,0,0
176.jpg,1,0,0,0,0
1730.jpg,0,0,0,0,1
566.jpg,0,1,0,0,1
293.jpg,1,0,0,0,0
1773.jpg,0,0,0,0,1
1744.jpg,0,0,0,0,1
1575.jpg,0,0,1,1,0
1471.jpg,0,0,1,1,0
1156.jpg,0,0,1,1,0
877.jpg,0,0,1,1,0
1780.jpg,0,0,0,0,1
409.jpg,0,1,1,0,0
705.jpg,0,1,0,0,0
1076.jpg,0,0,1,0,1
1681.jpg,0,0,0,0,1
1383.jpg,0,0,0,1,0
873.jpg,0,0,1,0,0
870.jpg,0,0,1,1,0
1138.jpg,0,0,1,0,0
687.jpg,0,1,0,0,1
1121.jpg,0,0,1,0,0
244.jpg,1,0,0,0,0
1488.jpg,0,0,0,1,0
1788.jpg,0,0,0,0,1
1728.jpg,0,0,0,0,1
1559.jpg,0,0,0,1,0
317.jpg,1,0,0,0,0
579.jpg,0,1,0,0,1
985.jpg,0,0,1,0,0
702.jpg,0,1,0,0,1
1489.jpg,0,1,0,1,0
1548.jpg,0,0,0,1,0
1326.jpg,0,0,0,1,0
1335.jpg,0,0,0,1,0
1811.jpg,0,0,0,0,1
1444.jpg,0,0,1,1,0
202.jpg,1,0,0,0,0
688.jpg,0,1,0,0,0
380.jpg,1,0,0,0,0
603.jpg,1,1,0,0,0
846.jpg,0,0,1,0,0
1094.jpg,0,0,1,1,0
1827.jpg,0,0,0,0,1
396.jpg,1,0,0,0,0
1.jpg,1,0,0,0,0
163.jpg,1,1,0,0,0
1813.jpg,0,0,0,0,1
1672.jpg,0,0,0,0,1
605.jpg,0,1,0,0,0
672.jpg,0,1,0,0,0
1722.jpg,0,0,0,0,1
139.jpg,1,0,0,1,0
1706.jpg,0,0,0,0,1
1484.jpg,0,0,0,1,0
749.jpg,0,1,0,0,0
872.jpg,0,0,1,0,0
146.jpg,1,0,0,0,0
3.jpg,1,0,0,0,0
1601.jpg,0,0,0,0,1
1183.jpg,0,0,1,0,1
182.jpg,1,0,0,0,0
287.jpg,1,0,0,0,0
1035.jpg,0,0,1,0,0
1080.jpg,0,0,1,0,0
197.jpg,1,0,0,0,0
1667.jpg,0,0,0,0,1
1710.jpg,0,0,0,0,1
1631.jpg,0,0,0,0,1
1281.jpg,0,0,0,1,0
126.jpg,1,0,0,0,0
1903.jpg,0,0,0,0,1
481.jpg,0,1,0,0,0
1961.jpg,0,0,0,0,1
822.jpg,0,0,1,0,0
1031.jpg,0,0,1,0,0
1547.jpg,0,0,0,1,0
735.jpg,0,1,0,0,0
666.jpg,0,1,0,0,0
790.jpg,0,1,0,0,1
230.jpg,1,0,0,0,0
1286.jpg,0,0,1,1,0
1018.jpg,0,0,1,0,0
296.jpg,1,0,0,0,0
1116.jpg,0,0,1,1,0
686.jpg,0,1,1,0,1
841.jpg,0,0,1,0,0
1259.jpg,0,0,0,1,0
1863.jpg,0,0,0,0,1
1119.jpg,0,0,1,1,0
1216.jpg,0,0,0,1,1
95.jpg,1,0,0,0,0
504.jpg,0,1,0,0,0
2000.jpg,0,0,0,0,1
760.jpg,0,1,0,0,0
1919.jpg,0,0,0,0,1
798.jpg,0,1,1,0,0
290.jpg,1,0,0,1,0
779.jpg,0,1,0,0,0
640.jpg,0,1,0,0,0
1261.jpg,0,0,1,1,0
571.jpg,0,1,0,0,0
1891.jpg,0,0,0,0,1
1797.jpg,0,0,0,0,1
410.jpg,0,1,0,0,0
975.jpg,0,0,1,0,0
43.jpg,1,0,0,0,0
359.jpg,1,0,0,0,0
833.jpg,0,0,1,0,0
894.jpg,0,1,1,0,0
638.jpg,0,1,0,0,1
83.jpg,1,0,0,0,0
634.jpg,0,1,0,0,0
1702.jpg,0,0,0,0,1
1927.jpg,0,0,0,0,1
712.jpg,0,1,0,0,0
38.jpg,1,0,0,0,1
1558.jpg,0,0,0,1,0
510.jpg,0,1,0,0,0
648.jpg,0,1,0,0,1
1970.jpg,0,0,0,0,1
1792.jpg,0,0,0,0,1
108.jpg,1,0,0,1,0
835.jpg,0,0,1,0,0
1647.jpg,0,0,0,0,1
1403.jpg,0,0,0,1,0
1304.jpg,0,0,0,1,0
1910.jpg,0,0,0,0,1
248.jpg,1,0,0,0,0
1195.jpg,0,0,1,0,0
1527.jpg,0,0,0,1,0
969.jpg,0,0,1,0,0
1465.jpg,0,0,0,1,0
949.jpg,0,0,1,0,0
1324.jpg,0,0,1,1,0
1315.jpg,0,0,0,1,0
1790.jpg,0,0,0,0,1
1949.jpg,0,0,0,0,1
350.jpg,1,0,0,0,0
816.jpg,0,0,1,0,0
1951.jpg,0,0,0,0,1
1262.jpg,0,1,0,1,0
1332.jpg,0,0,0,1,0
1100.jpg,0,0,1,0,0
1602.jpg,0,0,0,0,1
1269.jpg,0,0,1,1,0
589.jpg,0,1,0,0,0
452.jpg,0,1,0,0,0
538.jpg,0,1,0,0,0
1591.jpg,0,0,0,1,0
507.jpg,0,1,0,0,0
1922.jpg,0,0,0,0,1
1640.jpg,0,0,0,0,1
1106.jpg,0,0,1,0,1
1552.jpg,0,0,0,1,0
1449.jpg,0,0,1,1,0
1707.jpg,0,0,0,0,1
1270.jpg,0,0,1,1,0
399.jpg,1,0,0,0,0
466.jpg,0,1,0,0,0
959.jpg,0,0,1,0,0
1197.jpg,0,0,1,0,0
1493.jpg,0,0,1,1,0
1298.jpg,0,0,0,1,0
1118.jpg,0,0,1,1,0
190.jpg,1,0,0,0,0
393.jpg,1,0,0,1,0
1896.jpg,0,0,0,0,1
973.jpg,0,0,1,0,0
352.jpg,1,0,0,0,0
1279.jpg,0,0,1,1,1
1364.jpg,0,0,0,1,1
423.jpg,0,1,0,0,0
263.jpg,1,0,0,0,0
1838.jpg,0,1,0,0,1
1517.jpg,0,0,0,1,0
1177.jpg,0,0,1,1,0
658.jpg,0,1,0,0,1
274.jpg,1,0,0,0,0
121.jpg,1,0,0,0,0
1258.jpg,0,0,0,1,0
1124.jpg,0,0,1,0,0
924.jpg,0,0,1,0,0
1232.jpg,0,0,0,1,0
226.jpg,1,0,0,0,1
1741.jpg,0,0,0,0,1
127.jpg,1,0,0,0,0
1655.jpg,0,0,0,0,1
80.jpg,1,1,0,0,0
36.jpg,1,0,0,0,0
1585.jpg,0,0,0,1,0
915.jpg,0,0,1,0,0
347.jpg,1,0,0,0,0
793.jpg,0,1,0,0,1
1356.jpg,0,0,0,1,1
1717.jpg,0,0,0,0,1
12.jpg,1,0,0,0,0
500.jpg,0,1,0,0,0
185.jpg,1,0,0,0,0
1693.jpg,0,0,0,0,1
1340.jpg,0,0,1,1,0
49.jpg,1,0,0,0,0
1029.jpg,0,0,1,0,0
930.jpg,0,0,1,0,0
1870.jpg,0,0,0,0,1
684.jpg,0,1,0,0,0
1993.jpg,0,0,0,0,1
75.jpg,1,0,0,0,0
261.jpg,1,0,0,0,0
1510.jpg,0,0,0,1,1
1969.jpg,0,0,0,0,1
1280.jpg,0,0,1,1,1
1983.jpg,0,0,0,0,1
1914.jpg,0,1,0,0,1
523.jpg,0,1,0,0,0
1474.jpg,0,0,0,1,0
1047.jpg,0,0,1,0,0
309.jpg,1,0,0,0,0
1176.jpg,0,0,1,0,0
391.jpg,1,0,0,0,0
14.jpg,1,0,0,0,0
1353.jpg,0,0,0,1,0
152.jpg,1,0,0,0,0
1111.jpg,0,0,1,0,0
1563.jpg,0,0,0,1,0
1348.jpg,0,0,0,1,0
1568.jpg,0,0,0,1,0
477.jpg,0,1,0,0,0
1544.jpg,0,0,0,1,0
1519.jpg,0,0,0,1,0
1596.jpg,0,0,1,1,0
1613.jpg,0,0,0,0,1
246.jpg,1,0,0,0,0
613.jpg,0,1,0,0,1
787.jpg,0,1,0,0,0
1786.jpg,0,0,0,0,1
533.jpg,0,1,0,0,0
899.jpg,0,0,1,0,0
164.jpg,1,0,0,0,0
1486.jpg,0,0,0,1,1
1917.jpg,0,0,0,0,1
485.jpg,0,1,0,0,1
100.jpg,1,0,0,1,0
562.jpg,0,1,0,0,0
1747.jpg,0,0,0,0,1
1721.jpg,0,0,0,0,1
577.jpg,0,1,0,0,1
250.jpg,1,0,0,0,0
1438.jpg,0,0,0,1,0
1904.jpg,0,0,0,0,1
1684.jpg,0,0,0,0,1
699.jpg,0,1,0,0,1
427.jpg,0,1,1,0,0
828.jpg,0,0,1,0,0
151.jpg,1,0,0,0,1
321.jpg,1,0,0,0,0
910.jpg,0,0,1,0,0
1988.jpg,0,0,0,0,1
1420.jpg,0,0,1,1,0
569.jpg,0,1,0,0,0
78.jpg,1,0,0,0,0
369.jpg,1,0,0,0,0
740.jpg,0,1,0,0,1
358.jpg,1,0,1,0,0
236.jpg,1,0,0,0,0
19.jpg,1,0,0,0,0
120.jpg,1,1,0,1,0
1649.jpg,0,0,0,0,1
